#CARRERA;TICK;EPSILON;DIST_RACED
5;344;1.0;67.116
11;216;0.9900000002235174;26.0662
17;200;0.9800000004470348;20.7928
23;768;0.9700000006705523;186.979
29;215;0.9600000008940697;25.482
35;767;0.9500000011175871;186.704
41;362;0.9400000013411045;72.5125
47;370;0.9300000015646219;74.4638
53;907;0.9200000017881393;228.049
59;907;0.9100000020116568;228.049
65;516;0.9000000022351742;117.446
71;893;0.8900000024586916;223.493
77;1307;0.880000002682209;349.583
83;943;0.8700000029057264;239.059
89;3649;0.8600000031292439;1011.28
95;7277;0.8500000033527613;2082.41
101;244;0.8400000035762787;34.9604
107;1491;0.8300000037997961;403.287
113;224;0.8200000040233135;29.0577
119;220;0.8100000042468309;27.8331
125;230;0.8000000044703484;31.1086
131;1031;0.7900000046938658;265.97
137;627;0.7800000049173832;148.484
143;591;0.7700000051409006;138.407
149;518;0.760000005364418;118.454
155;262;0.7500000055879354;43.165
161;1134;0.7400000058114529;297.078
167;7326;0.7300000060349703;2082.37
173;371;0.7200000062584877;74.9612
179;228;0.7100000064820051;30.0946
185;958;0.7000000067055225;243.305
191;518;0.69000000692904;118.454
197;1199;0.6800000071525574;317.07
203;1104;0.6700000073760748;288.139
209;251;0.6600000075995922;38.1743
215;949;0.6500000078231096;241.058
221;1199;0.640000008046627;317.07
227;1042;0.6300000082701445;269.196
233;429;0.6200000084936619;91.554
239;1042;0.6100000087171793;269.202
245;222;0.6000000089406967;28.4961
251;235;0.5900000091642141;32.8423
257;305;0.5800000093877316;55.7277
263;304;0.570000009611249;55.5846
269;243;0.5600000098347664;34.6394
275;926;0.5500000100582838;233.648
281;1043;0.5400000102818012;269.491
287;1104;0.5300000105053186;288.139
293;246;0.5200000107288361;36.2978
299;618;0.5100000109523535;145.829
305;444;0.5000000111758709;97.8465
311;969;0.4900000113993883;247.083
317;1199;0.48000001162290573;317.07
323;417;0.47000001184642315;90.5735
329;426;0.46000001206994057;92.9396
335;421;0.450000012293458;91.5303
341;506;0.4400000125169754;113.485
347;1104;0.4300000127404928;288.139
353;1058;0.42000001296401024;274.178
359;949;0.41000001318752766;241.058
365;627;0.4000000134110451;148.484
371;627;0.3900000136345625;148.484
377;832;0.3800000138580799;204.738
383;627;0.37000001408159733;148.484
389;627;0.36000001430511475;148.355
395;971;0.35000001452863216;247.751
401;949;0.3400000147521496;241.058
407;4650;0.330000014975667;1319.57
413;1526;0.3200000151991844;413.956
419;1104;0.31000001542270184;288.139
425;949;0.30000001564621925;241.058
431;1199;0.29000001586973667;317.07
437;518;0.2800000160932541;118.454
443;284;0.2700000163167715;49.2457
449;816;0.2600000165402889;199.471
455;1199;0.25000001676380634;317.07
461;627;0.24000001698732376;148.484
467;612;0.23000001721084118;144.163
473;1145;0.2200000174343586;300.626
479;627;0.21000001765787601;148.484
485;387;0.20000001788139343;79.605
491;1121;0.19000001810491085;293.308
497;7270;0.18000001832842827;2082.39
503;3663;0.1700000185519457;1016.65
509;1142;0.1600000187754631;299.746
515;7290;0.15000001899898052;2082.3
521;657;0.14000001922249794;156.605
527;1043;0.13000001944601536;269.499
533;7270;0.12000001966953278;2082.46
539;386;0.1100000198930502;81.0227
545;447;0.10000002011656761;98.692
551;795;0.09000002034008503;194.671
557;7268;0.08000002056360245;2082.3
563;7268;0.07000002078711987;2082.3
569;7268;0.06000002101063728;2082.3
575;7273;0.0500000212341547;2082.31
581;7272;0.04000002145767212;2082.35
587;7273;0.030000021681189537;2082.54
593;671;0.020000021904706955;160.4
599;627;0.010000022128224373;148.484
605;457;0.0010000000000000009;100.471
611;7266;0.0010000000000000009;2082.35
617;7267;0.0010000000000000009;2082.31
623;7266;0.0010000000000000009;2082.35
629;7266;0.0010000000000000009;2082.35
635;7267;0.0010000000000000009;2082.38
641;7268;0.0010000000000000009;2082.56
647;7267;0.0010000000000000009;2082.48
653;7266;0.0010000000000000009;2082.35
659;7266;0.0010000000000000009;2082.38
665;7266;0.0010000000000000009;2082.35
671;7265;0.0010000000000000009;2082.42
677;7266;0.0010000000000000009;2082.35
683;7266;0.0010000000000000009;2082.35
689;7266;0.0010000000000000009;2082.35
695;7266;0.0010000000000000009;2082.35
701;7266;0.0010000000000000009;2082.35
707;7267;0.0010000000000000009;2082.39
713;7266;0.0010000000000000009;2082.46
719;7266;0.0010000000000000009;2082.41
725;7267;0.0010000000000000009;2082.46
731;7267;0.0010000000000000009;2082.45
737;7266;0.0010000000000000009;2082.3
743;7267;0.0010000000000000009;2082.4
749;7267;0.0010000000000000009;2082.47
755;7267;0.0010000000000000009;2082.4
