#CARRERA;TICK;EPSILON;DIST_RACED
5;395;1.0;82.6371
11;408;0.9900000002235174;86.3732
17;386;0.9800000004470348;81.0227
23;408;0.9700000006705523;86.3391
29;205;0.9600000008940697;22.1642
35;895;0.9500000011175871;224.437
41;1197;0.9400000013411045;316.149
47;369;0.9300000015646219;74.6739
53;433;0.9200000017881393;93.8744
59;246;0.9100000020116568;36.0794
65;1486;0.9000000022351742;401.754
71;3709;0.8900000024586916;1031.71
77;627;0.880000002682209;148.484
83;1199;0.8700000029057264;317.07
89;1092;0.8600000031292439;283.461
95;896;0.8500000033527613;224.563
101;694;0.8400000035762787;164.264
107;4770;0.8300000037997961;1344.58
113;4770;0.8200000040233135;1344.58
119;205;0.8100000042468309;21.9974
125;1043;0.8000000044703484;269.491
131;1043;0.7900000046938658;269.491
137;1104;0.7800000049173832;288.139
143;1043;0.7700000051409006;269.491
149;284;0.760000005364418;49.0747
155;249;0.7500000055879354;37.3819
161;237;0.7400000058114529;33.6816
167;1104;0.7300000060349703;288.139
173;346;0.7200000062584877;63.2023
179;1043;0.7100000064820051;269.491
185;1104;0.7000000067055225;288.139
191;3692;0.69000000692904;1026.83
197;7264;0.6800000071525574;2082.36
203;218;0.6700000073760748;26.2661
209;235;0.6600000075995922;32.3352
215;7265;0.6500000078231096;2082.41
221;7264;0.640000008046627;2082.36
227;1104;0.6300000082701445;288.139
233;7264;0.6200000084936619;2082.56
239;245;0.6100000087171793;35.6906
245;209;0.6000000089406967;23.6305
251;4207;0.5900000091642141;1185.02
257;4012;0.5800000093877316;1124.38
263;939;0.570000009611249;237.349
269;1159;0.5600000098347664;303.774
275;233;0.5500000100582838;31.7228
281;4117;0.5400000102818012;1150.51
287;591;0.5300000105053186;138.407
293;221;0.5200000107288361;28.0063
299;216;0.5100000109523535;25.7972
305;3541;0.5000000111758709;981.789
311;1104;0.4900000113993883;288.139
317;1104;0.48000001162290573;288.139
323;1043;0.47000001184642315;269.491
329;1028;0.46000001206994057;264.327
335;822;0.450000012293458;202.209
341;262;0.4400000125169754;43.165
347;1104;0.4300000127404928;288.139
353;3669;0.42000001296401024;1019.92
359;1104;0.41000001318752766;288.139
365;225;0.4000000134110451;29.4455
371;290;0.3900000136345625;49.7255
377;313;0.3800000138580799;57.3476
383;3561;0.37000001408159733;988.263
389;612;0.36000001430511475;144.163
395;1104;0.35000001452863216;288.139
401;698;0.3400000147521496;163.79
407;1104;0.330000014975667;288.139
413;3674;0.3200000151991844;1020.85
419;7322;0.31000001542270184;2082.5
425;7320;0.30000001564621925;2082.31
431;1205;0.29000001586973667;318.832
437;1205;0.2800000160932541;318.832
443;3693;0.2700000163167715;1026.88
449;217;0.2600000165402889;26.3648
455;1177;0.25000001676380634;310.225
461;7266;0.24000001698732376;2082.36
467;1142;0.23000001721084118;299.746
473;445;0.2200000174343586;98.0878
479;1466;0.21000001765787601;396.074
485;445;0.20000001788139343;98.0878
491;1177;0.19000001810491085;310.225
497;1104;0.18000001832842827;288.139
503;221;0.1700000185519457;28.0063
509;3546;0.1600000187754631;983.353
515;7272;0.15000001899898052;2082.43
521;1573;0.14000001922249794;427.128
527;875;0.13000001944601536;218.471
533;1036;0.12000001966953278;267.499
539;376;0.1100000198930502;76.9716
545;949;0.10000002011656761;241.058
551;7265;0.09000002034008503;2082.4
557;1104;0.08000002056360245;288.139
563;445;0.07000002078711987;98.0878
569;3662;0.06000002101063728;1017.95
575;7265;0.0500000212341547;2082.42
581;7265;0.04000002145767212;2082.42
587;7266;0.030000021681189537;2082.36
593;7267;0.020000021904706955;2082.52
599;7267;0.010000022128224373;2082.52
605;7267;0.0010000000000000009;2082.52
611;7267;0.0010000000000000009;2082.52
617;7267;0.0010000000000000009;2082.52
623;7270;0.0010000000000000009;2082.49
629;7266;0.0010000000000000009;2082.35
635;7266;0.0010000000000000009;2082.35
641;7266;0.0010000000000000009;2082.35
647;7266;0.0010000000000000009;2082.35
653;7267;0.0010000000000000009;2082.52
